x,y
-4.240428591262968,-1.4916425526165795
-4.240814127265862,-1.4907421972479005
-4.241153500923217,-1.489761610274472
-4.241488801840937,-1.488740019539837
-4.241827743604472,-1.4877257879409445
-4.242164798464544,-1.4867067788955428
-4.242499895949399,-1.4856849132387668
-4.242832990788489,-1.4846663534025413
-4.243164050484744,-1.4836503584481504
-4.243493050716552,-1.4826363071559918
-4.243819972860145,-1.4816236955086235
-4.244144802340709,-1.4806121158348158
-4.244467527518149,-1.4796012391164848
-4.244788138920616,-1.4785908003411743
-4.245106628708807,-1.4775805864583746
-4.245109822753751,-1.4775596665554784
-4.245419009634599,-1.4765713771182403
-4.245730832348933,-1.4755633697914459
-4.246040884499829,-1.474553667608118
-4.246350727121981,-1.473543713616026
-4.24665838818174,-1.4725337968998449
-4.24696385008437,-1.471523088175673
-4.247267119357922,-1.4705116133171432
-4.247568201144114,-1.4694993981681874
-4.247867099191589,-1.4684865277327277
-4.248163815592314,-1.4674730234833981
-4.248458351604907,-1.4664588894615416
-4.248750707965841,-1.4654441298062135
-4.2490408849948365,-1.4644287487436918
-4.24932888267884,-1.4634127505733652
-4.249614700740195,-1.4623961396560226
-4.249898338691825,-1.4613789204041614
-4.250179795881786,-1.4603610972739474
-4.250459071529148,-1.4593426747585303
-4.250736164752809,-1.4583236573824658
-4.251011074594577,-1.457304049697056
-4.251283800037631,-1.456283856276443
-4.251554340021217,-1.4552630817143344
-4.251822693452346,-1.4542417306212485
-4.252088859215062,-1.453219807622201
-4.2523528361777805,-1.452197317354752
-4.252614623199063,-1.4511742644673655
-4.252874219132171,-1.450150653618023
-4.2531316228286284,-1.4491264894730564
-4.25338683314101,-1.4481017767061635
-4.253639848925113,-1.4470765199975768
-4.253890669041638,-1.4460507240333638
-4.254139292357498,-1.445024393504834
-4.254142154318477,-1.4450034300533994
-4.254382035495365,-1.4439966658983079
-4.254623729419965,-1.4429686819821266
-4.254863191250218,-1.4419401655817883
-4.25510042644828,-1.4409111349160566
-4.255335438776875,-1.4398815959242812
-4.255568231084935,-1.4388515540197702
-4.255798805450453,-1.4378210144539723
-4.256027163331075,-1.4367899823640713
-4.256253305688064,-1.435758462798319
-4.256477233086529,-1.434726460735523
-4.256698945776262,-1.4336939811004694
-4.256918443756843,-1.432661028776127
-4.257135726830004,-1.4316276086132795
-4.257350794641684,-1.430593725438107
-4.257563646715761,-1.4295593840581415
-4.2577742824810825,-1.4285245892669274
-4.257982701293076,-1.4274893458476616
-4.258188902451026,-1.4264536585760264
-4.25839288521185,-1.4254175322223865
-4.258594648801078,-1.4243809715534888
-4.2587941924215915,-1.4233439813337687
-4.258991515260562,-1.4223065663263534
-4.259186616494965,-1.4212687312938266
-4.259379495295939,-1.4202304809988082
-4.2595701508322446,-1.419191820204391
-4.259758582272987,-1.4181527536744656
-4.259944788789777,-1.4171132861739633
-4.260128769558418,-1.4160734224690297
-4.260310523760251,-1.4150331673271512
-4.260490050583194,-1.413992525517243
-4.260667349222566,-1.4129515018097079
-4.26084241888173,-1.4119101009764725
-4.261015258772597,-1.4108683277910097
-4.261185868116014,-1.4098261870283475
-4.261354246142075,-1.408783683465067
-4.26152039209035,-1.4077408218792993
-4.261684305210083,-1.4066976070507102
-4.261845984760318,-1.405654043760488
-4.262005430010021,-1.4046101367913255
-4.262162640238161,-1.4035658909274011
-4.262317614733779,-1.4025213109543586
-4.262470352796032,-1.4014764016592869
-4.262620853734238,-1.4004311678306978
-4.262769116867906,-1.3993856142585057
-4.2629151415267525,-1.3983397457340057
-4.263058927050727,-1.397293567049851
-4.263200472790021,-1.3962470830000326
-4.263339778105083,-1.3952002983798573
-4.26347684236662,-1.3941532179859264
-4.2636116649556115,-1.3931058466161141
-4.263744245263309,-1.392058189069547
-4.263874929840084,-1.3910102293094506
-4.264005463230201,-1.3899623342073184
-4.264133733652777,-1.3889141554176483
-4.264134195018788,-1.388892937725217
-4.264256072139977,-1.3878652817593506
-4.264377181129268,-1.386816243517767
-4.26449599348105,-1.3857669309429281
-4.26449510409461,-1.3857665113563138
-4.264612117127545,-1.3847172183002274
-4.264728954272331,-1.3836677179002292
-4.264844167275833,-1.3826180552082625
-4.264961248125807,-1.3815685721188953
-4.265075978736098,-1.3805188244903288
-4.265188339632494,-1.3794688164815536
-4.265298354524648,-1.3784185570667227
-4.265406042579525,-1.3773680542968791
-4.2655114191229995,-1.3763173155128208
-4.265614496374961,-1.3752663474972693
-4.26571528404926,-1.374215156594993
-4.265813789841149,-1.373163748807826
-4.265910366377469,-1.3721120988549356
-4.266006773889675,-1.3710605153652882
-4.2661008947801875,-1.3700087202553357
-4.266192715958188,-1.368956718206443
-4.266282246575563,-1.3679045159385614
