step,x,y,z,speed_3d,speed_xy,command_v,command_w,outcome
0,-4.262023448944092,-4.499778747558594,-0.009903901256620884,0.0,0.0,0.0,0.0,success
1,-4.262026309967041,-4.499797344207764,-0.005007239989936352,0.15302179753780365,0.0005879824748262763,1.0,3.0,success
2,-4.262511730194092,-4.49888277053833,-0.004032166674733162,0.04444586858153343,0.0323566198348999,1.0,-3.0,success
3,-4.263004302978516,-4.49794864654541,-0.0032742160838097334,0.040621448308229446,0.03300117701292038,1.0,-3.0,success
4,-4.263494491577148,-4.497013092041016,-0.0026681884191930294,0.038053423166275024,0.033006083220243454,1.0,-3.0,success
5,-4.263982772827148,-4.496076583862305,-0.0021835113875567913,0.03631429746747017,0.03300488367676735,1.0,-3.0,success
6,-4.264468669891357,-4.495138645172119,-0.001795886899344623,0.035162534564733505,0.03301019221544266,1.0,-3.0,success
7,-4.264952659606934,-4.494200229644775,-0.0014858811628073454,0.03438882157206535,0.03299605846405029,1.0,-3.0,success
8,-4.265434741973877,-4.493260383605957,-0.0012379519175738096,0.03390564024448395,0.033008549362421036,1.0,-3.0,success
9,-4.265914440155029,-4.492319583892822,-0.0010396685684099793,0.03357784077525139,0.03300115838646889,1.0,-3.0,success
10,-4.266392230987549,-4.491377830505371,-0.0008810901781544089,0.03337070345878601,0.033000700175762177,1.0,-3.0,success
11,-4.266867637634277,-4.490434646606445,-0.000754266045987606,0.0332440584897995,0.033006973564624786,1.0,-3.0,success
12,-4.267341613769531,-4.489490985870361,-0.0006528376252390444,0.03315206244587898,0.03300018981099129,1.0,-3.0,success
13,-4.267812728881836,-4.488545894622803,-0.0005717195454053581,0.03309737890958786,0.0330001600086689,1.0,-3.0,success
14,-4.268282413482666,-4.487599849700928,-0.0005068448954261839,0.03306913375854492,0.0330069325864315,1.0,-3.0,success
15,-4.268749713897705,-4.486652851104736,-0.00045496097300201654,0.03304039686918259,0.03300059214234352,1.0,-3.0,success
16,-4.269215106964111,-4.4857048988342285,-0.00041346647776663303,0.033026471734046936,0.03300100564956665,1.0,-3.0,success
17,-4.269678592681885,-4.484755992889404,-0.00038028100971132517,0.033017851412296295,0.03300156071782112,1.0,-3.0,success
18,-4.270140171051025,-4.483806133270264,-0.00035374073195271194,0.033012665808200836,0.03300224617123604,1.0,-3.0,success
19,-4.270599365234375,-4.482855319976807,-0.000332514988258481,0.03300325199961662,0.032996583729982376,1.0,-3.0,success
20,-4.271056652069092,-4.481903553009033,-0.0003155395679641515,0.03300182893872261,0.03299756348133087,1.0,-3.0,success
21,-4.271511554718018,-4.480950355529785,-0.00030196335865184665,0.03300843387842178,0.03300570696592331,1.0,-3.0,success
22,-4.271965026855469,-4.479996681213379,-0.00029110570903867483,0.03300167992711067,0.03299993276596069,1.0,-3.0,success
23,-4.272416114807129,-4.479042053222656,-0.0002824222610797733,0.03299606591463089,0.03299495205283165,1.0,-3.0,success
24,-4.272864818572998,-4.478085994720459,-0.0002754775923676789,0.03300436586141586,0.03300365060567856,1.0,-3.0,success
25,-4.273312091827393,-4.4771294593811035,-0.0002699235628824681,0.03299863636493683,0.032998181879520416,1.0,-3.0,success
26,-4.273756980895996,-4.476171493530273,-0.00026548170717433095,0.03300752118229866,0.03300723060965538,1.0,-3.0,success
27,-4.274199962615967,-4.475213050842285,-0.00026192929362878203,0.03299587965011597,0.032995693385601044,1.0,-3.0,success
28,-4.2746405601501465,-4.474253177642822,-0.00025908820680342615,0.0330052487552166,0.03300512954592705,1.0,-3.0,success
29,-4.275079727172852,-4.473292827606201,-0.00025681607075966895,0.03300013020634651,0.03300005570054054,1.0,-3.0,success
30,-4.275516510009766,-4.472331523895264,-0.0002549988857936114,0.032996319234371185,0.032996270805597305,1.0,-3.0,success
31,-4.275950908660889,-4.471368789672852,-0.0002535455860197544,0.03300629183650017,0.03300626203417778,1.0,-3.0,success
32,-4.276383399963379,-4.470405578613281,-0.0002523832954466343,0.03299540653824806,0.03299538418650627,1.0,-3.0,success
33,-4.276813983917236,-4.4694414138793945,-0.0002514537482056767,0.03299823775887489,0.032998226583004,1.0,-3.0,success
34,-4.277242660522461,-4.468476295471191,-0.0002507103490643203,0.03300120681524277,0.03300119936466217,1.0,-3.0,success
35,-4.2776689529418945,-4.467510223388672,-0.0002501157869119197,0.03299829736351967,0.03299828991293907,1.0,-3.0,success
36,-4.278093338012695,-4.466543197631836,-0.00024964031763374805,0.03300156444311142,0.03300156071782112,1.0,-3.0,success
37,-4.278515815734863,-4.465575218200684,-0.0002492600178811699,0.033004965633153915,0.033004965633153915,1.0,-3.0,success
38,-4.27893590927124,-4.464606285095215,-0.00024895588285289705,0.0330025739967823,0.033002570271492004,1.0,-3.0,success
39,-4.279354095458984,-4.463636875152588,-0.0002487126621417701,0.032992590218782425,0.032992586493492126,1.0,-3.0,success
40,-4.2797698974609375,-4.462666034698486,-0.0002485181321389973,0.03300423547625542,0.03300423547625542,1.0,-3.0,success
41,-4.280184268951416,-4.461694717407227,-0.0002483625430613756,0.03300036862492561,0.03300036862492561,1.0,-3.0,success
42,-4.280595779418945,-4.46072244644165,-0.0002482381241861731,0.032992832362651825,0.032992832362651825,1.0,-3.0,success
43,-4.281005859375,-4.4597487449646,-0.0002481386181898415,0.0330166295170784,0.0330166295170784,1.0,-3.0,success
44,-4.281413555145264,-4.458775043487549,-0.00024805901921354234,0.03298777714371681,0.03298777714371681,1.0,-3.0,success
45,-4.2818193435668945,-4.457799911499023,-0.00024799536913633347,0.03300607576966286,0.03300607576966286,1.0,-3.0,success
46,-4.282222747802734,-4.456823825836182,-0.00024794446653686464,0.033005062490701675,0.033005062490701675,1.0,-3.0,success
47,-4.282624244689941,-4.455847263336182,-0.00024790375027805567,0.032996125519275665,0.032996125519275665,1.0,-3.0,success
48,-4.283023357391357,-4.454869747161865,-0.0002478711830917746,0.032995451241731644,0.032995451241731644,1.0,-3.0,success
49,-4.283420562744141,-4.453891277313232,-0.0002478451351635158,0.033000580966472626,0.033000580966472626,1.0,-3.0,success
50,-4.283815860748291,-4.452911853790283,-0.00024782432592473924,0.033005841076374054,0.033005841076374054,1.0,-3.0,success
