x,y
-2.7381343378930683,-4.501914250508597
-2.7382345039514884,-4.502004043787552
-2.738733662119437,-4.501071285583492
-2.7392309119403007,-4.500133884009294
-2.739726043641447,-4.499196247934171
-2.7402190752174613,-4.498258305020892
-2.7407100212943942,-4.497319983527453
-2.7407174789703843,-4.497299442873596
-2.7411955646359467,-4.496379630004273
-2.741680064409196,-4.495440958535481
-2.7421624937847895,-4.494501208737035
-2.7426428614914067,-4.493560452531391
-2.743121175757288,-4.492618688291558
-2.7431288462993573,-4.4925989004035545
-2.7435940911558316,-4.491673826300247
-2.7440659852340215,-4.490728840967864
-2.744535816277996,-4.489782870995513
-2.7450035884727675,-4.488835926060535
-2.7454699479054288,-4.487888372253841
-2.7459380309335355,-4.486941653203208
-2.7464040345727314,-4.485993930663034
-2.7468679313932087,-4.485045192262911
-2.7473297344014944,-4.4840954468663385
-2.7477894538064147,-4.483144702436793
-2.7477978426610585,-4.483126032771881
-2.7482576568604347,-4.482176630208734
-2.7487156104799753,-4.4812250516843655
-2.749171475224221,-4.480272471174068
-2.7496258781695015,-4.479319240674712
-2.7500820264082066,-4.478366812208732
-2.7505360719285084,-4.477413381677264
-2.7509879891012057,-4.4764589419424095
-2.7514377926322973,-4.475503505635829
-2.7518854941292523,-4.474547083751031
-2.7523311025381716,-4.473589685941015
-2.7527746246521065,-4.4726313207852275
-2.753216065526575,-4.471671996004926
-2.7536554288172854,-4.4707117186366165
-2.754092717054201,-4.4697504951715015
-2.754527931863594,-4.468788331667406
-2.754534926008615,-4.46876845329752
-2.7549576821636323,-4.467823727489839
-2.7553863697316645,-4.466858639574702
-2.7553860234588563,-4.4668585523120115
-2.75580304288633,-4.465911445561948
-2.756225883445145,-4.464943831568303
-2.756646499645594,-4.463975225159023
-2.75706491795773,-4.463005659776118
-2.7574811609166727,-4.462035153275607
-2.7578952463645647,-4.4610637204617785
-2.758307188260043,-4.460091373965786
-2.75871699742273,-4.459118124703911
-2.759124682143113,-4.458143982231546
-2.759530248677666,-4.457168955025379
-2.7599337016499383,-4.456193050708506
-2.7603350443749326,-4.455216276229764
-2.7607342791210234,-4.454238638006395
-2.76113140732111,-4.453260142037358
-2.761526429742585,-4.452280793993186
-2.76191934662394,-4.451300599287144
-2.762310157784391,-4.450319563131481
-2.762699495288092,-4.449337988049548
-2.763090667452434,-4.448357101690494
-2.7634796984912353,-4.447375362783468
-2.763866557455312,-4.446392764536024
-2.763866210011919,-4.446392694641246
-2.7638658585066924,-4.44639263781183
-2.76423972136009,-4.445427655486452
-2.7646184191404743,-4.444441914182556
-2.7649948484712352,-4.443455284536404
-2.7653690377510056,-4.442467798201158
-2.765741010558429,-4.44147947156177
-2.766110785587883,-4.440490318261232
-2.766478377512049,-4.439500350020497
-2.766843797756163,-4.438509577046905
-2.767207055130845,-4.437518008347905
-2.7675681563453307,-4.436525651980849
-2.767927752425536,-4.435532791711583
-2.7682891819555846,-4.434540560518316
-2.768648432709139,-4.433547536892081
-2.76900547627385,-4.4325537160848585
-2.7693603267195774,-4.43155910912127
-2.7697129952300883,-4.430563725723045
-2.770063490495583,-4.429567574555439
-2.7704118191892944,-4.428570663440067
-2.770757986357123,-4.427572999525918
-2.77110199573428,-4.42657458942667
-2.7714438500022,-4.42557543933077
-2.7717835509966604,-4.424575555089545
-2.7721210998761454,-4.423574942287593
-2.77245649725783,-4.422573606298962
-2.77278974332727,-4.421571552331886
-2.7727953688844686,-4.421552147442784
-2.7731227238789797,-4.420570303327846
-2.773453946767815,-4.419567576796409
-2.773782990335968,-4.418564122938434
-2.7741098587627517,-4.417559960454827
-2.774434555749092,-4.416555095674966
-2.7747570840307336,-4.415549534302308
-2.775077445507762,-4.414543281795113
-2.7753956414078353,-4.413536343431152
-2.7757116724212536,-4.412528724346897
-2.775716077679476,-4.412508061278429
-2.776021962418014,-4.411519331689352
-2.7763311733512146,-4.41050960079912
-2.776638188986437,-4.409499190116178
-2.77664253266666,-4.409478501194199
-2.776939497840677,-4.408487068878415
-2.7772396264533934,-4.407474596562943
-2.777537543626349,-4.406461462087339
-2.7778332564662103,-4.40544768456758
-2.77812677058165,-4.404433270646775
-2.7784180902543745,-4.403418226282258
-2.778707218649024,-4.402402557139971
-2.778994158032024,-4.401386268668855
-2.7792789099512,-4.400369366147714
-2.779561475380766,-4.399351854721886
-2.779841854838093,-4.398333739432321
-2.779846394620582,-4.398314049186885
-2.7801219792784244,-4.39731645943944
-2.780400302672707,-4.3962977793935725
-2.7806764117462692,-4.395278487254185
-2.7809503116813574,-4.394258601439773
-2.7812220065195783,-4.3932381280397985
-2.7814914993025726,-4.392217072576775
-2.7817587922221456,-4.391195440378299
-2.7817630853340507,-4.391175635567747
-2.782025839715633,-4.39017459573867
-2.7822910579662534,-4.3891524236352115
-2.782554051688468,-4.388129667568088
-2.7828148268302613,-4.387106345979101
-2.7830733879329492,-4.3860824649756225
-2.783329738444895,-4.385058030095305
-2.783583880893529,-4.384033046679534
-2.7838358170667616,-4.383007519928757
-2.784085548161806,-4.381981454933911
-2.7843330749051907,-4.380954856700654
-2.7845783976493115,-4.379927730168504
-2.784821516450001,-4.378900080225917
-2.785063099221193,-4.377872113719864
-2.7853065995892328,-4.376844560369055
-2.7855478583348523,-4.3758164772623145
-2.785786843687579,-4.374787862120806
-2.7860235685082886,-4.373758723568901
-2.7862580431428285,-4.372729069431315
-2.7864902757347103,-4.3716989068942915
-2.786720272641902,-4.3706682426347925
-2.7869480387786725,-4.369637082924075
-2.787173577894107,-4.368605433710851
-2.787396892798621,-4.367573300687918
-2.787617985547914,-4.366540689345473
-2.787836857592115,-4.365507605013672
-2.788053509896539,-4.364474052896563
-2.7882679430393016,-4.363440038099079
-2.7884801572901297,-4.36240556564848
-2.7886901526738854,-4.36137064051135
-2.788897929021707,-4.36033526760705
-2.789103486012118,-4.359299451818348
-2.7893068232040314,-4.358263197999795
-2.7895079400632095,-4.3572265109843205
-2.7897071835764686,-4.356189399518582
-2.789906271237501,-4.355152340551679
-2.7901031185145535,-4.35411484967044
-2.790297708816235,-4.353076929523198
-2.7904900481273054,-4.3520385871376455
-2.7906801412074254,-4.350999829066303
-2.790867991740045,-4.349960661486766
-2.791053602535684,-4.3489210902793625
-2.791236975699055,-4.347881121089012
-2.791418112765512,-4.346840759374577
-2.7915970148122313,-4.345800010448169
-2.7915984329220285,-4.3457788526650765
-2.791769964409598,-4.34475826415924
-2.7919418268722374,-4.3437163290034375
-2.7919433104375333,-4.343695168623885
-2.79194223986517,-4.343695000520685
-2.7921047074050485,-4.342672952221504
-2.792268039742696,-4.341629667970114
-2.7924332274418133,-4.340586641909187
-2.7925967794649362,-4.339543381932949
-2.792762840837816,-4.338500515046773
-2.7929307009167013,-4.337457932242172
-2.79309614297551,-4.336414960632099
-2.793259163627938,-4.335371605864577
-2.793420487157311,-4.334328008217952
-2.79358363032309,-4.3332846774647615
-2.793744403557005,-4.33224097675909
-2.7937470560438737,-4.33222007004582
-2.79390517148613,-4.331197343669918
-2.7940635012394024,-4.330153264713733
-2.7942201786589833,-4.329108955114664
-2.794379401392391,-4.328065025717342
-2.7945404548133297,-4.327021368306163
-2.7946991089710216,-4.325977341593045
-2.7948560445402912,-4.324933072479831
-2.794859053856427,-4.324912200771664
-2.7950181802967524,-4.3238896531401565
-2.795182156339272,-4.32284645824035
-2.795184518237988,-4.32282546509965
-2.795340808951264,-4.321802475084863
-2.79549717542733,-4.320758097608236
-2.795498993282728,-4.320737011272736
-2.795653820500118,-4.319713031929063
-2.7958088459616395,-4.318668461662488
-2.7959656417311636,-4.31762414795039
-2.796119993136904,-4.316579469416654
-2.7962725951581664,-4.315534547021119
-2.7964269697876194,-4.314489879156923
-2.7964268094173774,-4.314489531378167
-2.796576133223574,-4.3134655260934025
-2.796577953931247,-4.313444467620444
-2.7967223141569066,-4.312419731202187
-2.7968665600107436,-4.3113736143649
-2.797008442595076,-4.310327163656614
-2.797147987551939,-4.309280399893321
-2.797149077417455,-4.309259225374889
-2.7972817321847185,-4.308232896037007
-2.797414026281499,-4.307185195329678
-2.797544006019702,-4.306137195866177
-2.797671686813541,-4.30508891623497
-2.797797079482671,-4.304040362738978
