step,x,y,z,speed_3d,speed_xy,command_v,command_w,outcome
0,-4.262016296386719,-4.499843120574951,-0.009882151149213314,0.0,0.0,0.0,0.0,collision
1,-4.262017250061035,-4.4998626708984375,-0.004998170305043459,0.15262562036514282,0.000611674040555954,0.0,-3.0,collision
2,-4.261733531951904,-4.498867511749268,-0.004025037866085768,0.04439067095518112,0.03233790025115013,1.0,3.0,collision
3,-4.261728286743164,-4.498847007751465,-0.003273369511589408,0.02349894493818283,0.0006613832665607333,0.0,-3.0,collision
4,-4.261444091796875,-4.497851848602295,-0.0026629422791302204,0.03754853457212448,0.03234199061989784,1.0,-3.0,collision
5,-4.261444091796875,-4.497851848602295,-0.002183986594900489,0.014967364259064198,0.0,0.0,0.0,collision
6,-4.261157512664795,-4.496857166290283,-0.0017916003707796335,0.03459429368376732,0.032348208129405975,1.0,3.0,collision
7,-4.2611517906188965,-4.4968366622924805,-0.001487010857090354,0.009541639126837254,0.0006652329466305673,0.0,-3.0,collision
8,-4.260865211486816,-4.495842456817627,-0.0012342700501903892,0.03328454867005348,0.032333891838788986,1.0,-3.0,collision
9,-4.260570526123047,-4.494828701019287,-0.001036419882439077,0.03356553614139557,0.032991182059049606,1.0,-3.0,collision
10,-4.260273456573486,-4.493814945220947,-0.0008784797391854227,0.03337898105382919,0.03301205858588219,1.0,0.0,collision
11,-4.260267734527588,-4.4937944412231445,-0.0007570626912638545,0.003852157387882471,0.0006652329466305673,0.0,3.0,collision
12,-4.259973526000977,-4.492780685424805,-0.0006504029734060168,0.03315499424934387,0.03298702463507652,1.0,0.0,collision
13,-4.259679317474365,-4.491766452789307,-0.0005695683648809791,0.033097874373197556,0.033001337200403214,1.0,3.0,collision
14,-4.259387016296387,-4.49075174331665,-0.0005051023908890784,0.03306053578853607,0.03299909830093384,1.0,-3.0,collision
15,-4.259092330932617,-4.489737510681152,-0.00045356483315117657,0.033044762909412384,0.033005490899086,1.0,-3.0,collision
16,-4.259087085723877,-4.489717483520508,-0.00041724086622707546,0.0013065452221781015,0.0006469575455412269,0.0,3.0,collision
17,-4.259087085723877,-4.489717483520508,-0.00038361328188329935,0.001050862018018961,0.0,0.0,3.0,collision
18,-4.259087085723877,-4.489717483520508,-0.0003564197977539152,0.0008497963426634669,0.0,0.0,3.0,collision
19,-4.25880241394043,-4.488722324371338,-0.00032976202783174813,0.032356809824705124,0.03234608471393585,1.0,-3.0,collision
20,-4.258796215057373,-4.488702297210693,-0.00031790349748916924,0.0007526892004534602,0.0006551428814418614,0.0,-3.0,collision
21,-4.258795261383057,-4.488702774047852,-0.00030415330547839403,0.000430983433034271,3.332000778755173e-05,0.0,-3.0,collision
22,-4.258795738220215,-4.488702297210693,-0.00029288092628121376,0.00035289162769913673,2.1073423340567388e-05,0.0,3.0,collision
23,-4.258794784545898,-4.488702774047852,-0.0002838323125615716,0.00028472550911828876,3.332000778755173e-05,0.0,-3.0,collision
24,-4.258503437042236,-4.4877095222473145,-0.0002717179886531085,0.03234909474849701,0.032346878200769424,1.0,-3.0,collision
25,-4.258204460144043,-4.486696720123291,-0.0002666107611730695,0.03300066664814949,0.03300028666853905,1.0,3.0,collision
26,-4.257907867431641,-4.485683441162109,-0.00026281626196578145,0.03299378231167793,0.03299356997013092,1.0,3.0,collision
27,-4.257902145385742,-4.485662937164307,-0.00026466799317859113,0.0006677450146526098,0.0006652329466305673,0.0,-3.0,collision
28,-4.2579026222229,-4.485662937164307,-0.00026160324341617525,9.692571620689705e-05,1.4901160284352954e-05,0.0,3.0,collision
29,-4.257902145385742,-4.485662937164307,-0.0002588324132375419,8.786127000348642e-05,1.4901160284352954e-05,0.0,-3.0,collision
