Wall time,Step,Value
1779086815.2886474,73728,3416.470703125
1779087441.142556,147456,3433.435791015625
1779088098.722287,221184,3328.0
1779088835.0703495,294912,3297.98828125
1779089449.7583275,368640,3222.22998046875
1779089859.9533966,442368,3140.510009765625
1779090290.946667,516096,3145.60009765625
1779090740.8370728,589824,3042.56005859375
1779091195.927282,663552,2913.3701171875
1779091660.0619879,737280,2889.550048828125
1779092059.7464879,811008,2882.580078125
1779092467.2405486,884736,2918.72998046875
1779092865.8132286,958464,3109.639892578125
1779093276.2115712,1032192,3120.550048828125
1779093680.6113443,1105920,3261.1298828125
1779094081.200841,1179648,3363.93994140625
1779094491.2051878,1253376,3447.590087890625
1779094934.242973,1327104,3463.239990234375
1779095339.9888277,1400832,3454.22998046875
1779095816.724682,1474560,3496.85009765625
1779096654.0896096,1548288,3558.419921875
1779097336.7096019,1622016,3582.7099609375
1779098108.6076071,1695744,3684.530029296875
1779099067.7480578,1769472,3723.830078125
1779100060.4730647,1843200,3712.219970703125
1779101059.9325485,1916928,3729.219970703125
1779102013.3775713,1990656,3686.25
1779102987.1169877,2064384,3659.469970703125
1779103946.2545762,2138112,3627.139892578125
1779104940.2823842,2211840,3588.340087890625
1779105924.912889,2285568,3553.409912109375
1779107326.8143892,2359296,3479.110107421875
1779107776.3873847,2433024,3445.93994140625
1779108226.68197,2506752,3438.110107421875
1779108674.75443,2580480,3399.050048828125
1779109119.8984737,2654208,3343.889892578125
1779109567.9160895,2727936,3320.719970703125
1779109998.274795,2801664,3302.610107421875
1779110392.3061528,2875392,3252.429931640625
1779110791.133863,2949120,3226.8798828125
1779111188.0815356,3022848,3196.320068359375
