Wall time,Step,Value
1778595625.5445306,73728,3177.294189453125
1778596062.2693045,147456,3040.348876953125
1778596526.2435668,221184,3011.60009765625
1778596987.9511197,294912,2930.50537109375
1778597462.7125843,368640,2897.830078125
1778597900.2409792,442368,2732.919921875
1778598319.7747614,516096,2618.56005859375
1778598794.6990492,589824,2461.550048828125
1778599240.1193714,663552,2571.340087890625
1778599689.3656766,737280,2568.60009765625
1778601759.068901,811008,2444.409912109375
1778602221.890677,884736,2412.60009765625
1778602620.6610713,958464,2339.580078125
1778603063.3789608,1032192,2324.929931640625
1778603463.9812977,1105920,2281.0
1778603852.5400343,1179648,2339.25
1778604240.1283617,1253376,2147.179931640625
1778604628.3188875,1327104,2195.77001953125
1778605030.4289644,1400832,2134.22998046875
1778605442.1332273,1474560,2133.989990234375
1778605850.8359218,1548288,2120.780029296875
1778606304.0940711,1622016,1973.8199462890625
1778606754.9953668,1695744,1921.010009765625
1778607217.8128364,1769472,1834.0400390625
1778607661.1602402,1843200,1838.3299560546875
1778608433.541074,1916928,2083.679931640625
1778609048.8945012,1990656,2135.760009765625
1778609626.476182,2064384,2157.02001953125
1778610451.1682572,2138112,2055.68994140625
1778611095.7951856,2211840,2082.239990234375
1778611665.486777,2285568,2040.050048828125
1778612331.874876,2359296,1958.31005859375
1778612845.5630388,2433024,1930.4000244140625
1778613288.3721066,2506752,1974.1800537109375
1778613724.0951815,2580480,1997.5699462890625
1778614121.9763942,2654208,1958.260009765625
1778614519.9267645,2727936,1948.050048828125
1778614939.1182697,2801664,2021.5400390625
1778615940.3636477,2875392,2062.77001953125
1778616412.9747014,2949120,1872.199951171875
1778616863.287991,3022848,1858.6300048828125
