Wall time,Step,Value
1778595625.5445306,73728,-9235.4716796875
1778596062.2693045,147456,-9641.3603515625
1778596526.2435668,221184,-9832.3037109375
1778596987.9511197,294912,-8930.4541015625
1778597462.7125843,368640,-8252.412109375
1778597900.2409792,442368,-6823.166015625
1778598319.7747614,516096,-6528.95166015625
1778598794.6990492,589824,-6005.74462890625
1778599240.1193714,663552,-6051.25048828125
1778599689.3656766,737280,-5368.7265625
1778601759.068901,811008,-3726.148681640625
1778602221.890677,884736,-2641.95703125
1778602620.6610713,958464,-1754.9140625
1778603063.3789608,1032192,-1502.5816650390625
1778603463.9812977,1105920,-1106.372314453125
1778603852.5400343,1179648,-723.83251953125
1778604240.1283617,1253376,-49.43412780761719
1778604628.3188875,1327104,470.13433837890625
1778605030.4289644,1400832,819.499267578125
1778605442.1332273,1474560,1099.6446533203125
1778605850.8359218,1548288,1151.9501953125
1778606304.0940711,1622016,1238.199951171875
1778606754.9953668,1695744,1229.1678466796875
1778607217.8128364,1769472,1267.0867919921875
1778607661.1602402,1843200,1280.5487060546875
1778608433.541074,1916928,1402.516845703125
1778609048.8945012,1990656,1414.1865234375
1778609626.476182,2064384,1417.747314453125
1778610451.1682572,2138112,1317.9468994140625
1778611095.7951856,2211840,1087.7381591796875
1778611665.486777,2285568,964.3929443359375
1778612331.874876,2359296,955.701416015625
1778612845.5630388,2433024,1165.2596435546875
1778613288.3721066,2506752,1232.589599609375
1778613724.0951815,2580480,1446.4774169921875
1778614121.9763942,2654208,1327.018310546875
1778614519.9267645,2727936,1284.8060302734375
1778614939.1182697,2801664,1513.5447998046875
1778615940.3636477,2875392,1610.18505859375
1778616412.9747014,2949120,1380.6700439453125
1778616863.287991,3022848,1336.4696044921875
