step,x,y,z,speed_3d,speed_xy,command_v,command_w,outcome
0,-2.7381622791290283,-4.503513336181641,-0.009892908856272697,0.0,0.0,0.0,0.0,success
1,-2.738159418106079,-4.5035319328308105,-0.0050034900195896626,0.1527954638004303,0.0005879824748262763,0.0,3.0,success
2,-2.738159418106079,-4.5035319328308105,-0.004034053068608046,0.030294902622699738,0.0,0.0,-3.0,success
3,-2.738159656524658,-4.5035319328308105,-0.0032760475296527147,0.02368767373263836,7.450580142176477e-06,0.0,3.0,success
4,-2.7378976345062256,-4.502531051635742,-0.0026647760532796383,0.03755297511816025,0.03233157470822334,1.0,-3.0,success
5,-2.7378928661346436,-4.5025105476379395,-0.0021853502839803696,0.014996490441262722,0.0006578486645594239,0.0,3.0,success
6,-2.737631320953369,-4.501509189605713,-0.0017927777953445911,0.03459075465798378,0.03234221786260605,1.0,3.0,success
7,-2.7373673915863037,-4.500486373901367,-0.0014830915024504066,0.0343993678689003,0.03300997614860535,1.0,3.0,success
8,-2.7373623847961426,-4.500466346740723,-0.001240570330992341,0.007606192491948605,0.0006451101507991552,0.0,-3.0,success
9,-2.737102746963501,-4.499464511871338,-0.0010371903190389276,0.032960206270217896,0.03234163299202919,1.0,-3.0,success
10,-2.7368361949920654,-4.498442649841309,-0.0008788165869191289,0.03337075933814049,0.03300171718001366,1.0,3.0,success
11,-2.736572027206421,-4.497420310974121,-0.0007524322718381882,0.03323293477296829,0.03299741446971893,1.0,3.0,success
12,-2.73630952835083,-4.496397018432617,-0.0006513578700833023,0.03316402807831764,0.03301326930522919,1.0,-3.0,success
13,-2.7360453605651855,-4.49537467956543,-0.0005705445655621588,0.03309391438961029,0.03299741446971893,1.0,3.0,success
14,-2.7360410690307617,-4.495354175567627,-0.0005107863689772785,0.001978861168026924,0.0006546343211084604,0.0,3.0,success
15,-2.735785722732544,-4.494351387023926,-0.0004535324696917087,0.03238658979535103,0.03233712911605835,1.0,-3.0,success
16,-2.735522747039795,-4.49332857131958,-0.0004120220837648958,0.03302802890539169,0.033002544194459915,1.0,-3.0,success
17,-2.735258102416992,-4.492306232452393,-0.00037912014522589743,0.03301715850830078,0.033001143485307693,1.0,3.0,success
18,-2.7349960803985596,-4.491283416748047,-0.00035281089367344975,0.033005379140377045,0.03299513831734657,1.0,3.0,success
19,-2.7347354888916016,-4.490259647369385,-0.0003317600057926029,0.03301950544118881,0.03301295265555382,1.0,-3.0,success
20,-2.734473466873169,-4.489236831665039,-0.0003149445401504636,0.032999321818351746,0.03299513831734657,1.0,3.0,success
21,-2.734212875366211,-4.488213539123535,-0.00030147674260661006,0.03300119563937187,0.03299850970506668,1.0,-3.0,success
22,-2.73395037651062,-4.4871907234191895,-0.00029071999597363174,0.03300055116415024,0.032998837530612946,1.0,0.0,success
23,-2.7336881160736084,-4.486167907714844,-0.00028211873723194003,0.03299808129668236,0.03299698606133461,1.0,3.0,success
24,-2.7334282398223877,-4.485144138336182,-0.00027523416792973876,0.0330081470310688,0.03300744667649269,1.0,3.0,success
25,-2.733170747756958,-4.484119892120361,-0.0002697281015571207,0.033004093915224075,0.03300364315509796,1.0,3.0,success
26,-2.7329158782958984,-4.483095169067383,-0.00026532472111284733,0.03299850597977638,0.0329982191324234,1.0,3.0,success
27,-2.7329113483428955,-4.483075141906738,-0.0002666745276656002,0.000643043895252049,0.0006416589603759348,0.0,-3.0,success
28,-2.7326607704162598,-4.4820709228515625,-0.0002583236782811582,0.032345108687877655,0.03234405443072319,1.0,3.0,success
29,-2.732408046722412,-4.481045246124268,-0.00025590381119400263,0.03301112353801727,0.03301103785634041,1.0,3.0,success
30,-2.7321574687957764,-4.480019569396973,-0.00025425420608371496,0.03299509361386299,0.03299505636096001,1.0,3.0,success
31,-2.732154130935669,-4.479998588562012,-0.0002578315034043044,0.000673242611810565,0.0006638964405283332,0.0,3.0,success
32,-2.732154369354248,-4.479998588562012,-0.000256114435615018,5.417316060629673e-05,7.450580142176477e-06,0.0,-3.0,success
33,-2.731910228729248,-4.478992938995361,-0.000249566015554592,0.03234003111720085,0.03233938291668892,1.0,-3.0,success
34,-2.7319061756134033,-4.478972434997559,-0.00025377891142852604,0.0006662849918939173,0.0006531486287713051,0.0,3.0,success
35,-2.7316620349884033,-4.477966785430908,-0.00024798462982289493,0.03233988583087921,0.03233938291668892,1.0,3.0,success
36,-2.7314162254333496,-4.476939678192139,-0.00024763349210843444,0.033003486692905426,0.03300348296761513,1.0,3.0,success
37,-2.731172561645508,-4.475912094116211,-0.0002476397785358131,0.03300243988633156,0.03300243988633156,1.0,3.0,success
38,-2.730930805206299,-4.474884033203125,-0.0002476533700246364,0.033003244549036026,0.033003244549036026,1.0,0.0,success
39,-2.730689287185669,-4.473855972290039,-0.00024767598370090127,0.03300154209136963,0.03300153836607933,1.0,3.0,success
40,-2.73045015335083,-4.472827434539795,-0.0002476888184901327,0.03299909830093384,0.03299909457564354,1.0,3.0,success
41,-2.7302134037017822,-4.471798419952393,-0.0002476989175193012,0.03299682214856148,0.03299682214856148,1.0,3.0,success
42,-2.729978561401367,-4.470768928527832,-0.00024770136224105954,0.032998036593198776,0.032998036593198776,1.0,0.0,success
43,-2.729743242263794,-4.4697394371032715,-0.00024770331219770014,0.033001355826854706,0.033001355826854706,1.0,-3.0,success
44,-2.7295053005218506,-4.468710422515869,-0.0002477092784829438,0.03300519660115242,0.03300519660115242,1.0,-3.0,success
45,-2.7292654514312744,-4.467681884765625,-0.0002477249945513904,0.033004164695739746,0.033004164695739746,1.0,3.0,success
46,-2.729261875152588,-4.467661380767822,-0.000252610188908875,0.0006680989754386246,0.0006504232878796756,0.0,3.0,success
