Wall time,Step,Value
1779086815.2886474,73728,-11853.220703125
1779087441.143544,147456,-11298.9619140625
1779088098.722287,221184,-10502.6484375
1779088835.0703495,294912,-10188.2509765625
1779089449.7583275,368640,-9816.7607421875
1779089859.9533966,442368,-9509.7578125
1779090290.946667,516096,-8940.0625
1779090740.8370728,589824,-8943.748046875
1779091195.927282,663552,-8191.44091796875
1779091660.0619879,737280,-7725.6171875
1779092059.7464879,811008,-7532.57470703125
1779092467.2405486,884736,-6220.83447265625
1779092865.8132286,958464,-5300.59521484375
1779093276.2115712,1032192,-4418.251953125
1779093680.6113443,1105920,-3483.873291015625
1779094081.200841,1179648,-2885.379638671875
1779094491.2051878,1253376,-2615.014404296875
1779094934.242973,1327104,-2384.58203125
1779095339.9888277,1400832,-2055.765869140625
1779095816.724682,1474560,-1711.540283203125
1779096654.0948365,1548288,-938.59619140625
1779097336.7096019,1622016,-313.2461853027344
1779098108.6076071,1695744,592.962646484375
1779099067.7480578,1769472,1245.09521484375
1779100060.4730647,1843200,1763.006103515625
1779101059.9325485,1916928,2195.4833984375
1779102013.3775713,1990656,2322.4228515625
1779102987.1169877,2064384,2404.11376953125
1779103946.2545762,2138112,2501.25
1779104940.2823842,2211840,2630.500732421875
1779105924.912889,2285568,2684.078369140625
1779107326.8143892,2359296,2797.1279296875
1779107776.3873847,2433024,2736.55712890625
1779108226.68197,2506752,2897.2880859375
1779108674.75543,2580480,2916.2568359375
1779109119.8984737,2654208,2879.197509765625
1779109567.9160895,2727936,2965.57080078125
1779109998.274795,2801664,2974.176513671875
1779110392.3061528,2875392,2932.08837890625
1779110791.133863,2949120,2887.890625
1779111188.0815356,3022848,2883.42626953125
